Editor,Newspaper,Start,End,ConDate1,Con2,Con3,Con4,,,,,,
Frederick Douglass,FrederickDouglassPaper,1851-06-26,1855-12-14,1853-07-06,1853-10-06,1855-09-04,1855-10-16,,,,,,
William J. Watkins,FrederickDouglassPaper,1854-12-08,1855-12-07,1855-09-04,1855-10-16,,,,,,,,
H. Ford Douglass,ProvincialFreeman,1856-02-18,1857-09-20,1856-11-13,,,,,,,,,
Mary Ann Shadd,ProvincialFreeman,1853-03-24,1857-09-20,1855-10-16,,,,,,,,,
Jabez Pitt Campbell,TheChristianRecorder,1854-07-13,1856-03-04,1855-10-16,,,,,,,,,
Charles B. Ray,TheColoredAmerican,1837-04-01,1841-12-25,1840-08-18,,,,,,,,,
Frederick Douglass,TheNorthStar,1847-12-03,1851-04-17,1848-09-06,,,,,,,,,
Martin R. Delany,TheNorthStar,1847-12-03,1849-06-29,1848-09-06,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,1856-03-01,,,,,,,,,
