Type,Value,Newspaper,Start,End
editor,Frederick Douglass,DouglassMonthly,1859-01,1863-03
unattributed editor,Julia Griffiths,FrederickDouglassPaper,1851-06-26,1855-06-01
editor,Frederick Douglass,FrederickDouglassPaper,1851-06-26,1855-12-14
corresponding editor,John Thomas,FrederickDouglassPaper,1851-11-06,1855-12-14
printer,William Oliver,FrederickDouglassPaper,1853-04-22,1854-12-22
editor,William J. Watkins,FrederickDouglassPaper,1854-12-08,1855-12-14
editor,Frederick Douglass,TheNorthStar,1847-12-03,1851-04-17
printer,John Dick,TheNorthStar,1847-12-03,1848-06-23
editor,Martin R. Delany,TheNorthStar,1847-12-03,1849-06-29
publisher,William Cooper Nell,TheNorthStar,1847-12-03,1848-06-23
publisher,John Dick,TheNorthStar,1848-06-30,1849-12-21
printer,William B. Clough,TheNorthStar,1851-01-23,1851-04-17
