Type,Value,Newspaper,Start,End
corresponding editor,Alexander McArthur,ProvincialFreeman,1854-01-20,1854-10-21
unattributed editor,Mary Ann Shadd,ProvincialFreeman,1854-01-20,1854-06-10
editor,Samuel Ringgold Ward,ProvincialFreeman,1854-01-20,1854-10-21
printer,John Dick,ProvincialFreeman,1854-03-25,1856-03-01
publisher,Mary Ann Shadd,ProvincialFreeman,1854-06-17,1855-06-30
publisher,Isaac D. Shadd,ProvincialFreeman,1855-08-22,1857-09-20
editor,William P. Newman,ProvincialFreeman,1855-08-22,1855-12-29
corresponding editor,William Howard Day,ProvincialFreeman,1855-11-17,1856-01-19
proprietor,H. Ford Douglass,ProvincialFreeman,1856-02-18,1857-09-20
proprietor,Isaac D. Shadd,ProvincialFreeman,1856-02-18,1857-09-20
proprietor,Louis Patterson,ProvincialFreeman,1856-02-18,1856-02-18
editor,H. Ford Douglass,ProvincialFreeman,1856-05-10,1857-09-20
editor,Isaac D. Shadd,ProvincialFreeman,1856-05-10,1857-09-20
editor,Mary Ann Shadd,ProvincialFreeman,1856-05-10,1857-09-20
