Type,Value,Newspaper,Start,End
person,Philip A. Bell,TheColoredAmerican,1837-03-04,1839-07-13
person,Robert Sears,TheColoredAmerican,1837-03-04,1838-05-03
person,Robert Sears,TheColoredAmerican,1837-03-04,1838-05-03
person,Samuel E. Cornish,TheColoredAmerican,1837-03-04,1839-05-18
person,Charles B. Ray,TheColoredAmerican,1837-04-01,1837-11-11
person,Charles B. Ray,TheColoredAmerican,1837-11-18,1838-05-03
person,Charles B. Ray,TheColoredAmerican,1838-06-02,1841-12-25
person,Stephen H. Gloucester,TheColoredAmerican,1838-06-02,1839-06-22
person,James McCune Smith,TheColoredAmerican,1839-01-12,1839-05-18
person,Charles B. Ray,TheColoredAmerican,1839-06-01,1841-12-25
person,Frederick Douglass,DouglassMonthly,1859-01,1863-03
person,Frank Leslie,FrankLesliesWeekly,1855-12-22,1865-12-31
person,Frank Leslie,FrankLesliesWeekly,1855-12-22,1865-12-31
person,John Y. Foster,FrankLesliesWeekly,1855-12-22,1865-12-31
person,Julia Griffiths,FrederickDouglassPaper,1851-06-26,1855-06-01
person,Frederick Douglass,FrederickDouglassPaper,1851-06-26,1855-12-14
person,John Thomas,FrederickDouglassPaper,1851-11-06,1855-12-14
person,William Oliver,FrederickDouglassPaper,1853-04-22,1854-12-22
person,William J. Watkins,FrederickDouglassPaper,1854-12-08,1855-12-14
person,John B. Russwurm,FreedomsJournal,1827-03-16,1829-01-02
person,Samuel E. Cornish,FreedomsJournal,1827-03-16,1827-09-14
person,Louis Antonie Godey,GodeysLadysBook,1830-07,1865-12
person,Louis Antonie Godey,GodeysLadysBook,1830-07,1865-12
person,Sarah Josepha Hale,GodeysLadysBook,1837-01,1865-12
person,Nathaniel Peabody Rogers,NationalAntiSlaveryStandard,1840-06-11,1841-05-13
person,Lydia Maria Child,NationalAntiSlaveryStandard,1841-05-20,1843-05-04
person,David Lee Child,NationalAntiSlaveryStandard,1841-05-20,1843-05-04
person,David Lee Child,NationalAntiSlaveryStandard,1843-08-03,1844-05-23
person,Maria Weston Chapman,NationalAntiSlaveryStandard,1844-05-30,1846-06-04
person,Edmund Quincy,NationalAntiSlaveryStandard,1844-05-30,1846-06-04
person,Edmund Quincy,NationalAntiSlaveryStandard,1849-06-07,1854-07-15
person,James Russell Lowell,NationalAntiSlaveryStandard,1848-04-06,1852-05-20
person,Sydney Howard Gay,NationalAntiSlaveryStandard,1844-05-30,1854-07-15
person,Oliver Johnson,NationalAntiSlaveryStandard,1853-05-28,1854-07-15
person,Oliver Johnson,NationalAntiSlaveryStandard,1863-06-27,1865-05-20
person,Molliston Madison Clark ,TheChristianRecorder,1853-03-24,1854-06-15
person,Jabez Pitt Campbell,TheChristianRecorder,1854-07-13,1856-03-04
person,Isaac Knapp,TheLiberator,1831-01-01,1839-12-27
person,Isaac Knapp,TheLiberator,1831-01-01,1839-12-27
person,William Lloyd Garrison,TheLiberator,1831-01-01,1865-12-29
person,Amelia Jenks Bloomer,TheLily,1855-01-01,1856-01-01
person,Mary Birdsall,TheLily,1855-01-01,1856-12-15
person,Amelia Jenks Bloomer,TheLily,1849-01-01,1854-12-15
person,Amos A. Phelps,TheNationalEra,1847-01-01,1847-08-12
person,L.P. Noble,TheNationalEra,1847-01-01,1848-12-07
person,"Gamaliel Bailey, Jr.",TheNationalEra,1847-01-07,1860-03-22
person,John Greenleaf Whittier,TheNationalEra,1847-01-07,1860-03-22
person,"Gamaliel Bailey, Jr.",TheNationalEra,1848-02-10,1860-03-22
person,Frederick Douglass,TheNorthStar,1847-12-03,1851-04-17
person,John Dick,TheNorthStar,1847-12-03,1848-06-23
person,Martin R. Delany,TheNorthStar,1847-12-03,1849-06-29
person,William Cooper Nell,TheNorthStar,1847-12-03,1848-06-23
person,John Dick,TheNorthStar,1848-06-30,1849-12-21
person,William B. Clough,TheNorthStar,1851-01-23,1851-04-17
person,Alexander McArthur,ProvincialFreeman,1854-01-20,1854-10-21
person,Mary Ann Shadd,ProvincialFreeman,1854-01-20,1854-06-10
person,Samuel Ringgold Ward,ProvincialFreeman,1854-01-20,1854-10-21
person,John Dick,ProvincialFreeman,1854-03-25,1856-03-01
person,Mary Ann Shadd,ProvincialFreeman,1854-06-17,1855-06-30
person,Isaac D. Shadd,ProvincialFreeman,1855-08-22,1857-09-20
person,William P. Newman,ProvincialFreeman,1855-08-22,1855-12-29
person,William Howard Day,ProvincialFreeman,1855-11-17,1856-01-19
person,H. Ford Douglass,ProvincialFreeman,1856-02-18,1857-09-20
person,Isaac D. Shadd,ProvincialFreeman,1856-02-18,1857-09-20
person,Louis Patterson,ProvincialFreeman,1856-02-18,1856-02-18
person,H. Ford Douglass,ProvincialFreeman,1856-05-10,1857-09-20
person,Isaac D. Shadd,ProvincialFreeman,1856-05-10,1857-09-20
person,Mary Ann Shadd,ProvincialFreeman,1856-05-10,1857-09-20
person,Philip A. Bell,WeeklyAdvocate,1837-01-07,1837-02-25
person,Robert Sears,WeeklyAdvocate,1837-01-07,1837-02-25
person,Robert Sears,WeeklyAdvocate,1837-01-07,1837-02-25
role,proprietor,TheColoredAmerican,1837-03-04,1839-07-13
role,printer,TheColoredAmerican,1837-03-04,1838-05-03
role,publisher,TheColoredAmerican,1837-03-04,1838-05-03
role,editor,TheColoredAmerican,1837-03-04,1839-05-18
role,agent,TheColoredAmerican,1837-04-01,1837-11-11
role,publisher,TheColoredAmerican,1837-11-18,1838-05-03
role,proprietor,TheColoredAmerican,1838-06-02,1841-12-25
role,proprietor,TheColoredAmerican,1838-06-02,1839-06-22
role,editor,TheColoredAmerican,1839-01-12,1839-05-18
role,editor,TheColoredAmerican,1839-06-01,1841-12-25
role,editor,DouglassMonthly,1859-01,1863-03
role,publisher,FrankLesliesWeekly,1855-12-22,1865-12-31
role,illustrator,FrankLesliesWeekly,1855-12-22,1865-12-31
role,editor,FrankLesliesWeekly,1855-12-22,1865-12-31
role,unattributed editor,FrederickDouglassPaper,1851-06-26,1855-06-01
role,editor,FrederickDouglassPaper,1851-06-26,1855-12-14
role,corresponding editor,FrederickDouglassPaper,1851-11-06,1855-12-14
role,printer,FrederickDouglassPaper,1853-04-22,1854-12-22
role,editor,FrederickDouglassPaper,1854-12-08,1855-12-14
role,editor,FreedomsJournal,1827-03-16,1829-01-02
role,editor,FreedomsJournal,1827-03-16,1827-09-14
role,publisher,GodeysLadysBook,1830-07,1865-12
role,editor,GodeysLadysBook,1830-07,1865-12
role,editor,GodeysLadysBook,1837-01,1865-12
role,editor,NationalAntiSlaveryStandard,1840-06-11,1841-05-13
role,editor,NationalAntiSlaveryStandard,1841-05-20,1843-05-04
role,associate editor,NationalAntiSlaveryStandard,1841-05-20,1843-05-04
role,editor,NationalAntiSlaveryStandard,1843-08-03,1844-05-23
role,editor,NationalAntiSlaveryStandard,1844-05-30,1846-06-04
role,editor,NationalAntiSlaveryStandard,1844-05-30,1846-06-04
role,corresponding editor,NationalAntiSlaveryStandard,1849-06-07,1854-07-15
role,corresponding editor,NationalAntiSlaveryStandard,1848-04-06,1852-05-20
role,editor,NationalAntiSlaveryStandard,1844-05-30,1854-07-15
role,editor,NationalAntiSlaveryStandard,1853-05-28,1854-07-15
role,editor,NationalAntiSlaveryStandard,1863-06-27,1865-05-20
role,editor,TheChristianRecorder,1853-03-24,1854-06-15
role,editor,TheChristianRecorder,1854-07-13,1856-03-04
role,publisher,TheLiberator,1831-01-01,1839-12-27
role,printer,TheLiberator,1831-01-01,1839-12-27
role,editor,TheLiberator,1831-01-01,1865-12-29
role,corresponding editor,TheLily,1855-01-01,1856-01-01
role,editor,TheLily,1855-01-01,1856-12-15
