Source,Target,Type,Id,Label,timeset,Weight
1830.PA-09.24.PHIL.txt,J.W. Allen,Undirected,0,,,1
1830.PA-09.24.PHIL.txt,Bishop Allen,Undirected,1,,,1
1830.PA-09.24.PHIL.txt,Cyrus Black,Undirected,2,,,1
1830.PA-09.24.PHIL.txt,Junius C. Morel,Undirected,3,,,1
1830.PA-09.24.PHIL.txt,Benjamin Paschall,Undirected,4,,,1
1830.PA-09.24.PHIL.txt,James Cornish,Undirected,5,,,1
1830.PA-09.24.PHIL.txt,Allen,Undirected,6,,,1
1830.PA-09.24.PHIL.txt,Richard Allen,Undirected,7,,,1
1830.PA-09.24.PHIL.txt,Belfast Burton,Undirected,8,,,1
1830.PA-09.24.PHIL.txt,Robert Cowley,Undirected,9,,,1
1830.PA-09.24.PHIL.txt,Wm. S. Whipper,Undirected,10,,,1
1830.PA-09.24.PHIL.txt,Peter Gardiner,Undirected,11,,,1
1830.PA-09.24.PHIL.txt,John Allen,Undirected,12,,,1
1830.PA-09.24.PHIL.txt,James Newman,Undirected,13,,,1
1830.PA-09.24.PHIL.txt,Charles H. Leveck,Undirected,14,,,1
1830.PA-09.24.PHIL.txt,Frederick A. Hinton,Undirected,15,,,1
1830.PA-09.24.PHIL.txt,Austin Steward,Undirected,16,,,1
1830.PA-09.24.PHIL.txt,Jos. Adams,Undirected,17,,,1
1830.PA-09.24.PHIL.txt,George L. Brown,Undirected,18,,,1
1830.PA-09.24.PHIL.txt,C. Augustus,Undirected,19,,,1
1830.PA-09.24.PHIL.txt,George C. Willis,Undirected,20,,,1
1830.PA-09.24.PHIL.txt,Alfred Niger,Undirected,21,,,1
1830.PA-09.24.PHIL.txt,James Deavour,Undirected,22,,,1
1830.PA-09.24.PHIL.txt,Hezekiah Grice,Undirected,23,,,1
1830.PA-09.24.PHIL.txt,Aaron Willoon,Undirected,24,,,1
1830.PA-09.24.PHIL.txt,Abraham D. Shad,Undirected,25,,,1
1830.PA-09.24.PHIL.txt,Arthur M. Waring,Undirected,26,,,1
1830.PA-09.24.PHIL.txt,Wm. Duncan,Undirected,27,,,1
1830.PA-09.24.PHIL.txt,James West,Undirected,28,,,1
1830.PA-09.24.PHIL.txt,Robert Brown,Undirected,29,,,1
1830.PA-09.24.PHIL.txt,William Rogers,Undirected,30,,,1
1830.PA-09.24.PHIL.txt,John Bowers,Undirected,31,,,1
1830.PA-09.24.PHIL.txt,Richard Howell,Undirected,32,,,1
1830.PA-09.24.PHIL.txt,Daniel Peterson,Undirected,33,,,1
1830.PA-09.24.PHIL.txt,Charles Shorts,Undirected,34,,,1
1830.PA-09.24.PHIL.txt,Leven Williams,Undirected,35,,,1
1830.PA-09.24.PHIL.txt,James P. Walker,Undirected,36,,,1
1830.PA-09.24.PHIL.txt,John Robinson,Undirected,37,,,1
1830.PA-09.24.PHIL.txt,Samuel Todd,Undirected,38,,,1
1830.PA-09.24.PHIL.txt,John Arnold,Undirected,39,,,1
1830.PA-09.24.PHIL.txt,Sampson Peters,Undirected,40,,,1
1830.PA-09.24.PHIL.txt,Anthony Campbell,Undirected,41,,,1
1830.PA-09.24.PHIL.txt,Don Carolos Hall,Undirected,42,,,1
1830.PA-09.24.PHIL.txt,Rob,Undirected,43,,,1
1830.PA-09.24.PHIL.txt,Brown,Undirected,44,,,1
1830.PA-09.24.PHIL.txt,Daniel D. Brownhill,Undirected,45,,,1
1830.PA-09.24.PHIL.txt,William Whipper,Undirected,46,,,1
1830.PA-09.24.PHIL.txt,John P. Thompson,Undirected,47,,,1
1830.PA-09.24.PHIL.txt,Samuel D. Potts,Undirected,48,,,1
1830.PA-09.24.PHIL.txt,James Johnson,Undirected,49,,,1
1830.PA-09.24.PHIL.txt,John P. Burr,Undirected,50,,,1
1830.PA-09.24.PHIL.txt,Scipio Sewell,Undirected,51,,,1
1830.PA-09.24.PHIL.txt,Porter,Undirected,52,,,1
1830.PA-09.24.PHIL.txt,Joseph Cassey,Undirected,53,,,1
1830.PA-09.24.PHIL.txt,Shedrich Basset,Undirected,54,,,1
1830.PA-09.24.PHIL.txt,James Gibson,Undirected,55,,,1
1830.PA-09.24.PHIL.txt,Jeremiah Bowser,Undirected,56,,,1
1830.PA-09.24.PHIL.txt,Richard B. Johnson,Undirected,57,,,1
1830.PA-09.24.PHIL.txt,Henry Beckett,Undirected,58,,,1
1830.PA-09.24.PHIL.txt,Peter Mcneal,Undirected,59,,,1
1830.PA-09.24.PHIL.txt,James Bird,Undirected,60,,,1
1830.PA-09.24.PHIL.txt,Abraham Williams,Undirected,61,,,1
1830.PA-09.24.PHIL.txt,Daniel B. Brownhill,Undirected,62,,,1
1830.PA-09.24.PHIL.txt,John B. Sammons,Undirected,63,,,1
1830.PA-09.24.PHIL.txt,Charles W. Gardner,Undirected,64,,,1
1830.PA-09.24.PHIL.txt,Thomas Butler,Undirected,65,,,1
1830.PA-09.24.PHIL.txt,Messrs.Samuel Nickels,Undirected,66,,,1
1830.PA-09.24.PHIL.txt,William James,Undirected,67,,,1
1830.PA-09.24.PHIL.txt,Thomas Channock,Undirected,68,,,1
1830.PA-09.24.PHIL.txt,William C. West,Undirected,69,,,1
1830.PA-09.24.PHIL.txt,Robert Johnson,Undirected,70,,,1
1830.PA-09.24.PHIL.txt,Joshua Brown,Undirected,71,,,1
1830.PA-09.24.PHIL.txt,Edward Johnson,Undirected,72,,,1
1830.PA-09.24.PHIL.txt,G. Laws,Undirected,73,,,1
1830.PA-09.24.PHIL.txt,Samuel Combegy,Undirected,74,,,1
1830.PA-09.24.PHIL.txt,John Dutton,Undirected,75,,,1
1831.PA-06.06.PHIL.txt,Belfast Burton,Undirected,76,,,1
1831.PA-06.06.PHIL.txt,William Whipper,Undirected,77,,,1
1831.PA-06.06.PHIL.txt,John Bowers,Undirected,78,,,1
1831.PA-06.06.PHIL.txt,James Cornish,Undirected,79,,,1
1831.PA-06.06.PHIL.txt,Junius C. Morel,Undirected,80,,,1
1831.PA-06.06.PHIL.txt,Wm. Whipper,Undirected,81,,,1
1831.PA-06.06.PHIL.txt,Wm. Miller,Undirected,82,,,1
1831.PA-06.06.PHIL.txt,Henry Sipkins,Undirected,83,,,1
1831.PA-06.06.PHIL.txt,L. Jennings,Undirected,84,,,1
1831.PA-06.06.PHIL.txt,Wm. Hamilton,Undirected,85,,,1
1831.PA-06.06.PHIL.txt,James Pennington,Undirected,86,,,1
1831.PA-06.06.PHIL.txt,Abner Coker,Undirected,87,,,1
1831.PA-06.06.PHIL.txt,Robert Cowley,Undirected,88,,,1
1831.PA-06.06.PHIL.txt,Abraham D. Shad,Undirected,89,,,1
1831.PA-06.06.PHIL.txt,Peter Gardiner,Undirected,90,,,1
1831.PA-06.06.PHIL.txt,Wm. Duncan,Undirected,91,,,1
1831.PA-06.06.PHIL.txt,W. Miller,Undirected,92,,,1
1831.PA-06.06.PHIL.txt,William Duncan,Undirected,93,,,1
1831.PA-06.06.PHIL.txt,Willliam Whipper,Undirected,94,,,1
1831.PA-06.06.PHIL.txt,Charles W. Gardiner,Undirected,95,,,1
1831.PA-06.06.PHIL.txt,Samuel Todd,Undirected,96,,,1
1831.PA-06.06.PHIL.txt,Morel,Undirected,97,,,1
1831.PA-06.06.PHIL.txt,Duncan,Undirected,98,,,1
1831.PA-06.06.PHIL.txt,Cowley,Undirected,99,,,1
1831.PA-06.06.PHIL.txt,Jennings,Undirected,100,,,1
1831.PA-06.06.PHIL.txt,S. S. Jocelyn,Undirected,101,,,1
1831.PA-06.06.PHIL.txt,Arthur Tappan,Undirected,102,,,1
1831.PA-06.06.PHIL.txt,Benjamin Lundy,Undirected,103,,,1
1831.PA-06.06.PHIL.txt,William L. Garrison,Undirected,104,,,1
1831.PA-06.06.PHIL.txt,Thomas Shipley,Undirected,105,,,1
1831.PA-06.06.PHIL.txt,Charles Pierce,Undirected,106,,,1
1831.PA-06.06.PHIL.txt,Jocelyn,Undirected,107,,,1
1831.PA-06.06.PHIL.txt,Tappan,Undirected,108,,,1
1831.PA-06.06.PHIL.txt,Garrison,Undirected,109,,,1
1831.PA-06.06.PHIL.txt,New-Haven,Undirected,110,,,1
1831.PA-06.06.PHIL.txt,Samuel E. Cornish,Undirected,111,,,1
1831.PA-06.06.PHIL.txt,Hosea Reiston,Undirected,112,,,1
1831.PA-06.06.PHIL.txt,Robert Roberts,Undirected,113,,,1
1831.PA-06.06.PHIL.txt,James G. Barbadoes,Undirected,114,,,1
1831.PA-06.06.PHIL.txt,Samuel Snowden,Undirected,115,,,1
1831.PA-06.06.PHIL.txt,Peter Williams,Undirected,116,,,1
1831.PA-06.06.PHIL.txt,Philip Bell,Undirected,117,,,1
1831.PA-06.06.PHIL.txt,Thomas Downing,Undirected,118,,,1
1831.PA-06.06.PHIL.txt,Peter Voglesang,Undirected,119,,,1
1831.PA-06.06.PHIL.txt,Joseph Cassey,Undirected,120,,,1
1831.PA-06.06.PHIL.txt,Robert Douglass,Undirected,121,,,1
1831.PA-06.06.PHIL.txt,James Forten,Undirected,122,,,1
1831.PA-06.06.PHIL.txt,Richard Howell,Undirected,123,,,1
1831.PA-06.06.PHIL.txt,Robert Purvis,Undirected,124,,,1
1831.PA-06.06.PHIL.txt,Thomas Green,Undirected,125,,,1
1831.PA-06.06.PHIL.txt,James P. Walker,Undirected,126,,,1
1831.PA-06.06.PHIL.txt,Samuel G. Mathews,Undirected,127,,,1
1831.PA-06.06.PHIL.txt,Isaac Whipper,Undirected,128,,,1
1831.PA-06.06.PHIL.txt,Samuel Hiner,Undirected,129,,,1
1831.PA-06.06.PHIL.txt,Biars Stanley,Undirected,130,,,1
1831.PA-06.06.PHIL.txt,John Creed,Undirected,131,,,1
1831.PA-06.06.PHIL.txt,Alexander C. Luca,Undirected,132,,,1
1831.PA-06.06.PHIL.txt,L. I. -- Jacob Deyes,Undirected,133,,,1
1831.PA-06.06.PHIL.txt,Henry Thomson,Undirected,134,,,1
1831.PA-06.06.PHIL.txt,Willis Jones,Undirected,135,,,1
1831.PA-06.06.PHIL.txt,Peter Spencer,Undirected,136,,,1
1831.PA-06.06.PHIL.txt,Jacob Morgan,Undirected,137,,,1
1831.PA-06.06.PHIL.txt,William S. Thomas,Undirected,138,,,1
1831.PA-06.06.PHIL.txt,Benjamin Latimore,Undirected,139,,,1
1831.PA-06.06.PHIL.txt,Schuyler,Undirected,140,,,1
1831.PA-06.06.PHIL.txt,Francis March,Undirected,141,,,1
1831.PA-06.06.PHIL.txt,D. C. -- William Jackson,Undirected,142,,,1
1831.PA-06.06.PHIL.txt,Arthur Waring,Undirected,143,,,1
1831.PA-06.06.PHIL.txt,Isaac Carey,Undirected,144,,,1
1831.PA-06.06.PHIL.txt,Charles Butler,Undirected,145,,,1
