Id,Label,timeset,nodecolor-multimode,modularity_class,Degree,Year
1830.PA-09.24.PHIL.txt,1830.PA-09.24.PHIL.txt,"<[1830.0, 1830.0]>",red,0,76,1830
J.W. Allen,J.W. Allen,"<[1830.0, 1895.0]>",blue,0,1,
Bishop Allen,Bishop Allen,"<[1830.0, 1895.0]>",blue,0,1,
Cyrus Black,Cyrus Black,"<[1830.0, 1895.0]>",blue,0,2,
Junius C. Morel,Junius C. Morel,"<[1830.0, 1895.0]>",blue,15,4,
Benjamin Paschall,Benjamin Paschall,"<[1830.0, 1895.0]>",blue,0,1,
James Cornish,James Cornish,"<[1830.0, 1895.0]>",blue,0,3,
Allen,Allen,"<[1830.0, 1895.0]>",blue,11,2,
Richard Allen,Richard Allen,"<[1830.0, 1895.0]>",blue,0,5,
Belfast Burton,Belfast Burton,"<[1830.0, 1895.0]>",blue,0,2,
Robert Cowley,Robert Cowley,"<[1830.0, 1895.0]>",blue,0,4,
Wm. S. Whipper,Wm. S. Whipper,"<[1830.0, 1895.0]>",blue,0,1,
Peter Gardiner,Peter Gardiner,"<[1830.0, 1895.0]>",blue,0,4,
John Allen,John Allen,"<[1830.0, 1895.0]>",blue,0,1,
James Newman,James Newman,"<[1830.0, 1895.0]>",blue,0,1,
Charles H. Leveck,Charles H. Leveck,"<[1830.0, 1895.0]>",blue,0,3,
Frederick A. Hinton,Frederick A. Hinton,"<[1830.0, 1895.0]>",blue,0,5,
Austin Steward,Austin Steward,"<[1830.0, 1895.0]>",blue,1,2,
Jos. Adams,Jos. Adams,"<[1830.0, 1895.0]>",blue,0,1,
George L. Brown,George L. Brown,"<[1830.0, 1895.0]>",blue,0,1,
C. Augustus,C. Augustus,"<[1830.0, 1895.0]>",blue,0,2,
George C. Willis,George C. Willis,"<[1830.0, 1895.0]>",blue,0,4,
Alfred Niger,Alfred Niger,"<[1830.0, 1895.0]>",blue,0,4,
James Deavour,James Deavour,"<[1830.0, 1895.0]>",blue,0,1,
Hezekiah Grice,Hezekiah Grice,"<[1830.0, 1895.0]>",blue,0,2,
Aaron Willoon,Aaron Willoon,"<[1830.0, 1895.0]>",blue,0,1,
Abraham D. Shad,Abraham D. Shad,"<[1830.0, 1895.0]>",blue,0,3,
Arthur M. Waring,Arthur M. Waring,"<[1830.0, 1895.0]>",blue,0,1,
Wm. Duncan,Wm. Duncan,"<[1830.0, 1895.0]>",blue,0,2,
James West,James West,"<[1830.0, 1895.0]>",blue,0,1,
Robert Brown,Robert Brown,"<[1830.0, 1895.0]>",blue,0,3,
William Rogers,William Rogers,"<[1830.0, 1895.0]>",blue,0,1,
John Bowers,John Bowers,"<[1830.0, 1895.0]>",blue,0,4,
Richard Howell,Richard Howell,"<[1830.0, 1895.0]>",blue,0,2,
Daniel Peterson,Daniel Peterson,"<[1830.0, 1895.0]>",blue,0,1,
Charles Shorts,Charles Shorts,"<[1830.0, 1895.0]>",blue,0,1,
Leven Williams,Leven Williams,"<[1830.0, 1895.0]>",blue,0,1,
James P. Walker,James P. Walker,"<[1830.0, 1895.0]>",blue,0,3,
John Robinson,John Robinson,"<[1830.0, 1895.0]>",blue,0,1,
Samuel Todd,Samuel Todd,"<[1830.0, 1895.0]>",blue,0,2,
John Arnold,John Arnold,"<[1830.0, 1895.0]>",blue,0,1,
Sampson Peters,Sampson Peters,"<[1830.0, 1895.0]>",blue,0,2,
Anthony Campbell,Anthony Campbell,"<[1830.0, 1895.0]>",blue,0,2,
Don Carolos Hall,Don Carolos Hall,"<[1830.0, 1895.0]>",blue,0,1,
Rob,Rob,"<[1830.0, 1895.0]>",blue,23,3,
Brown,Brown,"<[1830.0, 1895.0]>",blue,17,12,
Daniel D. Brownhill,Daniel D. Brownhill,"<[1830.0, 1895.0]>",blue,0,1,
William Whipper,William Whipper,"<[1830.0, 1895.0]>",blue,0,8,
John P. Thompson,John P. Thompson,"<[1830.0, 1895.0]>",blue,0,2,
Samuel D. Potts,Samuel D. Potts,"<[1830.0, 1895.0]>",blue,0,1,
James Johnson,James Johnson,"<[1830.0, 1895.0]>",blue,1,2,
John P. Burr,John P. Burr,"<[1830.0, 1895.0]>",blue,0,2,
Scipio Sewell,Scipio Sewell,"<[1830.0, 1895.0]>",blue,0,1,
Porter,Porter,"<[1830.0, 1895.0]>",blue,11,2,
Joseph Cassey,Joseph Cassey,"<[1830.0, 1895.0]>",blue,0,4,
Shedrich Basset,Shedrich Basset,"<[1830.0, 1895.0]>",blue,0,1,
James Gibson,James Gibson,"<[1830.0, 1895.0]>",blue,0,1,
Jeremiah Bowser,Jeremiah Bowser,"<[1830.0, 1895.0]>",blue,0,1,
Richard B. Johnson,Richard B. Johnson,"<[1830.0, 1895.0]>",blue,0,1,
Henry Beckett,Henry Beckett,"<[1830.0, 1895.0]>",blue,0,1,
Peter Mcneal,Peter Mcneal,"<[1830.0, 1895.0]>",blue,0,1,
James Bird,James Bird,"<[1830.0, 1895.0]>",blue,0,4,
Abraham Williams,Abraham Williams,"<[1830.0, 1895.0]>",blue,0,2,
Daniel B. Brownhill,Daniel B. Brownhill,"<[1830.0, 1895.0]>",blue,0,2,
John B. Sammons,John B. Sammons,"<[1830.0, 1895.0]>",blue,0,1,
Charles W. Gardner,Charles W. Gardner,"<[1830.0, 1895.0]>",blue,0,3,
Thomas Butler,Thomas Butler,"<[1830.0, 1895.0]>",blue,0,6,
Messrs.Samuel Nickels,Messrs.Samuel Nickels,"<[1830.0, 1895.0]>",blue,0,1,
William James,William James,"<[1830.0, 1895.0]>",blue,0,1,
Thomas Channock,Thomas Channock,"<[1830.0, 1895.0]>",blue,0,1,
William C. West,William C. West,"<[1830.0, 1895.0]>",blue,0,1,
Robert Johnson,Robert Johnson,"<[1830.0, 1895.0]>",blue,11,4,
Joshua Brown,Joshua Brown,"<[1830.0, 1895.0]>",blue,0,2,
Edward Johnson,Edward Johnson,"<[1830.0, 1895.0]>",blue,0,1,
G. Laws,G. Laws,"<[1830.0, 1895.0]>",blue,0,1,
Samuel Combegy,Samuel Combegy,"<[1830.0, 1895.0]>",blue,0,1,
John Dutton,John Dutton,"<[1830.0, 1895.0]>",blue,0,1,
1831.PA-06.06.PHIL.txt,1831.PA-06.06.PHIL.txt,"<[1831.0, 1831.0]>",red,0,104,1831
Wm. Whipper,Wm. Whipper,"<[1830.0, 1895.0]>",blue,0,5,
Wm. Miller,Wm. Miller,"<[1830.0, 1895.0]>",blue,0,1,
Henry Sipkins,Henry Sipkins,"<[1830.0, 1895.0]>",blue,0,4,
L. Jennings,L. Jennings,"<[1830.0, 1895.0]>",blue,0,2,
Wm. Hamilton,Wm. Hamilton,"<[1830.0, 1895.0]>",blue,23,5,
James Pennington,James Pennington,"<[1830.0, 1895.0]>",blue,0,2,
Abner Coker,Abner Coker,"<[1830.0, 1895.0]>",blue,0,1,
W. Miller,W. Miller,"<[1830.0, 1895.0]>",blue,0,2,
William Duncan,William Duncan,"<[1830.0, 1895.0]>",blue,0,1,
Willliam Whipper,Willliam Whipper,"<[1830.0, 1895.0]>",blue,0,1,
Charles W. Gardiner,Charles W. Gardiner,"<[1830.0, 1895.0]>",blue,0,2,
