source,target
Peter H. Clark,Frederick Douglass
Peter H. Clark,John Mercer Langston
Peter H. Clark,John Jones
Peter H. Clark,J. I. Gaines
Peter H. Clark,Charles H. Langston
Peter H. Clark,Thomas Goode
Peter H. Clark,David Jenkins
Peter H. Clark,John Booker
Peter H. Clark,Jno
Peter H. Clark,Malvin
Peter H. Clark,W. H. Burnham
Peter H. Clark,John Watson
Peter H. Clark,Henry A. Wise
Peter H. Clark,Franklin Pierce
Peter H. Clark,James Buchanan
Peter H. Clark,Jenkins
Peter H. Clark,J. A. Chancellor
Peter H. Clark,W. P. Morgan
Peter H. Clark,J. M. Langston
Peter H. Clark,Granville Foster
Peter H. Clark,D. S. Bruce
Peter H. Clark,David Barnett
Peter H. Clark,Pike
Peter H. Clark,John M. Langston
Peter H. Clark,W. W. Johnson
Peter H. Clark,D. Jenkins
Peter H. Clark,C. H. Langston
Peter H. Clark,P. H. Clark
Peter H. Clark,John I. Gaines
Peter H. Clark,John Malvin
Peter H. Clark,Evans
Peter H. Clark,C. D. Williams
Peter H. Clark,W. H. Fuller
Peter H. Clark,Thomas J. Goode
Peter H. Clark,W. H. Mann
Peter H. Clark,George W. Roots
Peter H. Clark,Fenton M. Harper
Peter H. Clark,W. Hocking
Peter H. Clark,William Johnson
Peter H. Clark,J. Archer
Peter H. Clark,B. E. Heathcock
Peter H. Clark,W. P. Moxley
Peter H. Clark,William Walden
Peter H. Clark,J. Manley
Peter H. Clark,John C. Jones
Peter H. Clark,W. H. Hanster
Peter H. Clark,Henry Washing
Peter H. Clark,Robert Piles
Peter H. Clark,A. A. Allen
Peter H. Clark,Henry Lucas
Peter H. Clark,William Henry
Peter H. Clark,Allen Johnson
Peter H. Clark,Augustus Anderson
Peter H. Clark,James E. Evans
Peter H. Clark,Isham Martin
Peter H. Clark,Wilman Milton
Peter H. Clark,W. Hurst Burnham
Peter H. Clark,R. B. Leech
Peter H. Clark,John Wesley
Peter H. Clark,Scott
