source,target
Grant,Horace Greeley
Grant,Ulysses S. Grant
Grant,Greeley
Grant,John F. Hartranft
Grant,D. N. White
Grant,Hartranft
Grant,Buckalew
Grant,Gen Hartranft
Grant,D. Forten
Grant,S. A. Neale
Grant,Howard Day
Grant,A. P. Faucett
Grant,Charles Vosburg
Grant,John Brock
Grant,John Henry
Grant,C. H. Barker
Grant,James Wilt
Horace Greeley,Ulysses S. Grant
Horace Greeley,Greeley
Horace Greeley,John F. Hartranft
Horace Greeley,D. N. White
Horace Greeley,Hartranft
Horace Greeley,Buckalew
Horace Greeley,Gen Hartranft
Horace Greeley,D. Forten
Horace Greeley,S. A. Neale
Horace Greeley,Howard Day
Horace Greeley,A. P. Faucett
Horace Greeley,Charles Vosburg
Horace Greeley,John Brock
Horace Greeley,John Henry
Horace Greeley,C. H. Barker
Horace Greeley,James Wilt
Ulysses S. Grant,Greeley
Ulysses S. Grant,John F. Hartranft
Ulysses S. Grant,D. N. White
Ulysses S. Grant,Hartranft
Ulysses S. Grant,Buckalew
Ulysses S. Grant,Gen Hartranft
Ulysses S. Grant,D. Forten
Ulysses S. Grant,S. A. Neale
Ulysses S. Grant,Howard Day
Ulysses S. Grant,A. P. Faucett
Ulysses S. Grant,Charles Vosburg
Ulysses S. Grant,John Brock
Ulysses S. Grant,John Henry
Ulysses S. Grant,C. H. Barker
Ulysses S. Grant,James Wilt
Greeley,John F. Hartranft
Greeley,D. N. White
Greeley,Hartranft
Greeley,Buckalew
Greeley,Gen Hartranft
Greeley,D. Forten
Greeley,S. A. Neale
Greeley,Howard Day
Greeley,A. P. Faucett
Greeley,Charles Vosburg
Greeley,John Brock
Greeley,John Henry
Greeley,C. H. Barker
Greeley,James Wilt
John F. Hartranft,D. N. White
John F. Hartranft,Hartranft
John F. Hartranft,Buckalew
John F. Hartranft,Gen Hartranft
John F. Hartranft,D. Forten
John F. Hartranft,S. A. Neale
John F. Hartranft,Howard Day
John F. Hartranft,A. P. Faucett
John F. Hartranft,Charles Vosburg
John F. Hartranft,John Brock
John F. Hartranft,John Henry
John F. Hartranft,C. H. Barker
John F. Hartranft,James Wilt
D. N. White,Hartranft
D. N. White,Buckalew
D. N. White,Gen Hartranft
D. N. White,D. Forten
D. N. White,S. A. Neale
D. N. White,Howard Day
D. N. White,A. P. Faucett
D. N. White,Charles Vosburg
D. N. White,John Brock
D. N. White,John Henry
D. N. White,C. H. Barker
D. N. White,James Wilt
Hartranft,Buckalew
Hartranft,Gen Hartranft
Hartranft,D. Forten
Hartranft,S. A. Neale
Hartranft,Howard Day
Hartranft,A. P. Faucett
Hartranft,Charles Vosburg
Hartranft,John Brock
Hartranft,John Henry
Hartranft,C. H. Barker
Hartranft,James Wilt
Buckalew,Gen Hartranft
Buckalew,D. Forten
Buckalew,S. A. Neale
Buckalew,Howard Day
Buckalew,A. P. Faucett
Buckalew,Charles Vosburg
Buckalew,John Brock
Buckalew,John Henry
Buckalew,C. H. Barker
Buckalew,James Wilt
Gen Hartranft,D. Forten
Gen Hartranft,S. A. Neale
Gen Hartranft,Howard Day
Gen Hartranft,A. P. Faucett
Gen Hartranft,Charles Vosburg
Gen Hartranft,John Brock
Gen Hartranft,John Henry
Gen Hartranft,C. H. Barker
Gen Hartranft,James Wilt
D. Forten,S. A. Neale
D. Forten,Howard Day
D. Forten,A. P. Faucett
D. Forten,Charles Vosburg
D. Forten,John Brock
D. Forten,John Henry
D. Forten,C. H. Barker
D. Forten,James Wilt
S. A. Neale,Howard Day
S. A. Neale,A. P. Faucett
S. A. Neale,Charles Vosburg
S. A. Neale,John Brock
S. A. Neale,John Henry
S. A. Neale,C. H. Barker
S. A. Neale,James Wilt
Howard Day,A. P. Faucett
Howard Day,Charles Vosburg
Howard Day,John Brock
Howard Day,John Henry
Howard Day,C. H. Barker
Howard Day,James Wilt
A. P. Faucett,Charles Vosburg
A. P. Faucett,John Brock
A. P. Faucett,John Henry
A. P. Faucett,C. H. Barker
A. P. Faucett,James Wilt
Charles Vosburg,John Brock
Charles Vosburg,John Henry
Charles Vosburg,C. H. Barker
Charles Vosburg,James Wilt
John Brock,John Henry
John Brock,C. H. Barker
John Brock,James Wilt
John Henry,C. H. Barker
John Henry,James Wilt
C. H. Barker,James Wilt
