Person,Count,Year,Place,filename
J.W. Allen_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Bishop Allen_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Cyrus Black_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Junius C. Morel_PERSON,5,1830,PA,1830.PA-09.24.PHIL.txt
Benjamin Paschall_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
James Cornish_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Richard Allen_PERSON,7,1830,PA,1830.PA-09.24.PHIL.txt
Belfast Burton_PERSON,5,1830,PA,1830.PA-09.24.PHIL.txt
Robert Cowley_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Wm. S. Whipper_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Peter Gardiner_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
John Allen_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
James Newman_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Charles H. Leveck_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Frederick A. Hinton_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Austin Steward_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Jos. Adams_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
George L. Brown_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
C. Augustus_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
George C. Willis_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Alfred Niger_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
James Deavour_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Hezekiah Grice_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Aaron Willoon_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Abraham D. Shad_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Arthur M. Waring_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Wm. Duncan_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
James West_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Robert Brown_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
William Rogers_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
John Bowers_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Richard Howell_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Daniel Peterson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Charles Shorts_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Leven Williams_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
James P. Walker_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
John Robinson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Samuel Todd_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
John Arnold_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Sampson Peters_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Anthony Campbell_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Don Carolos Hall_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Rob_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Brown_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Daniel D. Brownhill_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
William Whipper_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
John P. Thompson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Samuel D. Potts_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
James Johnson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
John P. Burr_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Scipio Sewell_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Porter_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Joseph Cassey_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Shedrich Basset_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
James Gibson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Jeremiah Bowser_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Richard B. Johnson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Henry Beckett_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Peter Mcneal_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
James Bird_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Abraham Williams_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Daniel B. Brownhill_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
John B. Sammons_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Charles W. Gardner_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Thomas Butler_PERSON,2,1830,PA,1830.PA-09.24.PHIL.txt
Messrs.Samuel Nickels_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
William James_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Thomas Channock_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
William C. West_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Robert Johnson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Joshua Brown_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Edward Johnson_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
G. Laws_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Samuel Combegy_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
John Dutton_PERSON,1,1830,PA,1830.PA-09.24.PHIL.txt
Belfast Burton_PERSON,3,1831,PA,1831.PA-06.06.PHIL.txt
William Whipper_PERSON,3,1831,PA,1831.PA-06.06.PHIL.txt
John Bowers_PERSON,6,1831,PA,1831.PA-06.06.PHIL.txt
James Cornish_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
Junius C. Morel_PERSON,5,1831,PA,1831.PA-06.06.PHIL.txt
Wm. Whipper_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
Wm. Miller_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
Henry Sipkins_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
L. Jennings_PERSON,3,1831,PA,1831.PA-06.06.PHIL.txt
Wm. Hamilton_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
James Pennington_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
Abner Coker_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
Robert Cowley_PERSON,3,1831,PA,1831.PA-06.06.PHIL.txt
Abraham D. Shad_PERSON,3,1831,PA,1831.PA-06.06.PHIL.txt
Peter Gardiner_PERSON,2,1831,PA,1831.PA-06.06.PHIL.txt
Wm. Duncan_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
W. Miller_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
William Duncan_PERSON,3,1831,PA,1831.PA-06.06.PHIL.txt
Willliam Whipper_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
Charles W. Gardiner_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
Samuel Todd_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
Morel_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
Duncan_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
Cowley_PERSON,1,1831,PA,1831.PA-06.06.PHIL.txt
