Label,modularity_class
J.W. Allen,0
Bishop Allen,0
Cyrus Black,0
Junius C. Morel,0
Benjamin Paschall,0
James Cornish,0
Richard Allen,13
Belfast Burton,0
Robert Cowley,0
Wm. S. Whipper,0
Peter Gardiner,0
John Allen,0
James Newman,0
Charles H. Leveck,0
Frederick A. Hinton,0
Austin Steward,0
Jos. Adams,0
George L. Brown,0
C. Augustus,0
George C. Willis,0
Alfred Niger,0
James Deavour,0
Hezekiah Grice,0
Aaron Willoon,0
Abraham D. Shad,0
Arthur M. Waring,0
Wm. Duncan,0
James West,0
Robert Brown,0
William Rogers,0
John Bowers,0
Richard Howell,0
Daniel Peterson,0
Charles Shorts,0
Leven Williams,0
James P. Walker,0
John Robinson,0
Samuel Todd,0
John Arnold,0
Sampson Peters,0
Anthony Campbell,10
Don Carolos Hall,0
Rob,0
Brown,5
Daniel D. Brownhill,0
William Whipper,0
John P. Thompson,0
Samuel D. Potts,0
James Johnson,1
John P. Burr,0
Scipio Sewell,0
Porter,0
Joseph Cassey,0
Shedrich Basset,0
James Gibson,0
Jeremiah Bowser,0
Richard B. Johnson,0
Henry Beckett,0
Peter Mcneal,0
James Bird,0
Abraham Williams,0
Daniel B. Brownhill,0
John B. Sammons,0
Charles W. Gardner,0
Thomas Butler,0
Messrs.Samuel Nickels,0
William James,0
Thomas Channock,0
William C. West,0
Robert Johnson,12
Joshua Brown,0
Edward Johnson,0
G. Laws,0
Samuel Combegy,0
John Dutton,0
Wm. Whipper,0
Wm. Miller,0
Henry Sipkins,0
L. Jennings,0
Wm. Hamilton,0
James Pennington,0
Abner Coker,0
W. Miller,14
William Duncan,0
Willliam Whipper,0
Charles W. Gardiner,10
Morel,0
Duncan,0
Cowley,0
Jennings,0
S. S. Jocelyn,0
Arthur Tappan,0
Benjamin Lundy,0
William L. Garrison,0
Thomas Shipley,0
Charles Pierce,0
Jocelyn,0
Tappan,0
Garrison,0
New-Haven,0
Samuel E. Cornish,0
Hosea Reiston,0
Robert Roberts,0
James G. Barbadoes,0
Samuel Snowden,0
Peter Williams,0
Philip Bell,0
Thomas Downing,0
Peter Voglesang,0
Robert Douglass,0
James Forten,0
Robert Purvis,0
Thomas Green,0
Samuel G. Mathews,0
Isaac Whipper,0
Samuel Hiner,0
Biars Stanley,0
John Creed,0
Alexander C. Luca,0
L. I. -- Jacob Deyes,0
Henry Thomson,0
Willis Jones,0
Peter Spencer,0
Jacob Morgan,0
William S. Thomas,0
Benjamin Latimore,0
Schuyler,1
Francis March,0
D. C. -- William Jackson,0
Arthur Waring,0
Isaac Carey,0
Charles Butler,0
Jared Grey,0
Carlisle,0
John Peck,0
Rowland G. Roberts,0
Dennis Berry,0
John B. Vashon,0
Lewis Gardiner,0
Abraham Lewis,0
N. J.,0
Peter Petitt,0
Charles Anderson,0
Adam Ray,0
Leonard Scott,0
Joseph Casey,0
Thomas L. Jennings,0
Henry H. Mondy,0
Abner Cocker,0
William Wormley,0
John W. Prout,0
James Wilkins,0
Scipio C. Augustus,0
Charles Hatfield,0
John Liverpool,0
Shipley,0
Lundy,0
Peirce,0
Long-Island,0
Lewis G. Wells,0
Benj,10
Paschal,0
Butler,0
C. Matthews,0
Benjamin Paschal,0
F. A. Hinton,0
J. C. Morel,0
Samuel Johnson,0
William Hamilton,0
Philip A. Bell,0
Joseph Burton,0
William Johnson,5
D. Shad,0
Samuel Elliott,0
Thomas D. Coxsin,0
Thomas Banks,0
Aaron Roberts,0
Hosea Easton,0
Nathan Johnson,0
Paul Drayton,0
Ichabod Northrop,0
Sipkins,0
C. W. Gardner,0
John Dowers,0
R. R. Gurley,0
Brackenridge,0
Pennington,0
Gurley,0
Hamilton,0
Bell,0
T. D. Coxsin,0
Wm. Lloyd Garrison,0
Vashon,0
Coxsin,0
Johnson,0
Peck,0
Elliot,0
Roberts,13
Hiner,0
A. D. Shad,0
Easton,0
Patterson,0
Evan Lewis,0
Andrew Jackson,5
Thos,0
Jackson,5
Jolin B. Vashon,0
C. W Gardner,0
T. Coxsin,0
Henrv Slpkins,0
Cor,0
G. Barbadoes,0
V. P. -- H. H. Mauday,0
C. Willis,0
Peter Osborn,0
Abner Crocker,0
Benjamin Pascal,0
James E. Cornish,0
D. Coxsin,0
J.C. Morel,0
Robt,0
P. A. Bell,9
J. B. Vashon,0
B. Paschal,0
C. Mathews,0
George Johnson,0
Wm. C. West,0
Stephen H. Gloucester,0
Simeon S. Jocelyn,0
T. L. Jennings,0
Harrison,17
K. A. Hinton,0
Cornish,0
Peter Wiliams,0
Charles Morton,0
Jacob Deyes,0
Henry Thompson,0
Thomas Johnson,15
John Potter,0
Gardner,0
Lewis Woodson,10
Simmons,13
Roland G. Robinson,0
Charles K. Kook,0
