source,target
Belfast Burton,William Whipper
Belfast Burton,John Bowers
Belfast Burton,James Cornish
Belfast Burton,Junius C. Morel
Belfast Burton,Wm. Whipper
Belfast Burton,Wm. Miller
Belfast Burton,Henry Sipkins
Belfast Burton,L. Jennings
Belfast Burton,Wm. Hamilton
Belfast Burton,James Pennington
Belfast Burton,Abner Coker
Belfast Burton,Robert Cowley
Belfast Burton,Abraham D. Shad
Belfast Burton,Peter Gardiner
Belfast Burton,Wm. Duncan
Belfast Burton,W. Miller
Belfast Burton,William Duncan
Belfast Burton,Willliam Whipper
Belfast Burton,Charles W. Gardiner
Belfast Burton,Samuel Todd
Belfast Burton,Morel
Belfast Burton,Duncan
Belfast Burton,Cowley
Belfast Burton,Jennings
Belfast Burton,S. S. Jocelyn
Belfast Burton,Arthur Tappan
Belfast Burton,Benjamin Lundy
Belfast Burton,William L. Garrison
Belfast Burton,Thomas Shipley
Belfast Burton,Charles Pierce
Belfast Burton,Jocelyn
Belfast Burton,Tappan
Belfast Burton,Garrison
Belfast Burton,New-Haven
Belfast Burton,Samuel E. Cornish
Belfast Burton,Hosea Reiston
Belfast Burton,Robert Roberts
Belfast Burton,James G. Barbadoes
Belfast Burton,Samuel Snowden
Belfast Burton,Peter Williams
Belfast Burton,Philip Bell
Belfast Burton,Thomas Downing
Belfast Burton,Peter Voglesang
Belfast Burton,Joseph Cassey
Belfast Burton,Robert Douglass
Belfast Burton,James Forten
Belfast Burton,Richard Howell
Belfast Burton,Robert Purvis
Belfast Burton,Thomas Green
Belfast Burton,James P. Walker
Belfast Burton,Samuel G. Mathews
Belfast Burton,Isaac Whipper
Belfast Burton,Samuel Hiner
Belfast Burton,Biars Stanley
Belfast Burton,John Creed
Belfast Burton,Alexander C. Luca
Belfast Burton,L. I. -- Jacob Deyes
Belfast Burton,Henry Thomson
Belfast Burton,Willis Jones
Belfast Burton,Peter Spencer
Belfast Burton,Jacob Morgan
Belfast Burton,William S. Thomas
Belfast Burton,Benjamin Latimore
Belfast Burton,Schuyler
Belfast Burton,Francis March
Belfast Burton,D. C. -- William Jackson
Belfast Burton,Arthur Waring
Belfast Burton,Isaac Carey
Belfast Burton,Charles Butler
Belfast Burton,Jared Grey
Belfast Burton,Carlisle
Belfast Burton,John Peck
Belfast Burton,Rowland G. Roberts
Belfast Burton,Dennis Berry
Belfast Burton,John B. Vashon
Belfast Burton,Lewis Gardiner
Belfast Burton,Abraham Lewis
Belfast Burton,N. J.
Belfast Burton,Peter Petitt
Belfast Burton,Charles Anderson
Belfast Burton,Adam Ray
Belfast Burton,Sampson Peters
Belfast Burton,Leonard Scott
Belfast Burton,Frederick A. Hinton
Belfast Burton,Joseph Casey
Belfast Burton,Charles H. Leveck
Belfast Burton,Thomas L. Jennings
Belfast Burton,Henry H. Mondy
Belfast Burton,Abner Cocker
Belfast Burton,George C. Willis
Belfast Burton,Alfred Niger
Belfast Burton,William Wormley
Belfast Burton,John W. Prout
Belfast Burton,James Wilkins
Belfast Burton,Scipio C. Augustus
Belfast Burton,Charles Hatfield
Belfast Burton,John Liverpool
Belfast Burton,John P. Thompson
Belfast Burton,Shipley
Belfast Burton,Lundy
Belfast Burton,Peirce
Belfast Burton,Long-Island
Belfast Burton,Lewis G. Wells
William Whipper,John Bowers
William Whipper,James Cornish
William Whipper,Junius C. Morel
William Whipper,Wm. Whipper
William Whipper,Wm. Miller
William Whipper,Henry Sipkins
William Whipper,L. Jennings
William Whipper,Wm. Hamilton
William Whipper,James Pennington
William Whipper,Abner Coker
William Whipper,Robert Cowley
William Whipper,Abraham D. Shad
William Whipper,Peter Gardiner
William Whipper,Wm. Duncan
William Whipper,W. Miller
William Whipper,William Duncan
William Whipper,Willliam Whipper
William Whipper,Charles W. Gardiner
William Whipper,Samuel Todd
William Whipper,Morel
William Whipper,Duncan
William Whipper,Cowley
William Whipper,Jennings
William Whipper,S. S. Jocelyn
William Whipper,Arthur Tappan
William Whipper,Benjamin Lundy
William Whipper,William L. Garrison
William Whipper,Thomas Shipley
William Whipper,Charles Pierce
William Whipper,Jocelyn
William Whipper,Tappan
William Whipper,Garrison
William Whipper,New-Haven
William Whipper,Samuel E. Cornish
William Whipper,Hosea Reiston
William Whipper,Robert Roberts
William Whipper,James G. Barbadoes
William Whipper,Samuel Snowden
William Whipper,Peter Williams
William Whipper,Philip Bell
William Whipper,Thomas Downing
William Whipper,Peter Voglesang
William Whipper,Joseph Cassey
William Whipper,Robert Douglass
William Whipper,James Forten
William Whipper,Richard Howell
William Whipper,Robert Purvis
William Whipper,Thomas Green
William Whipper,James P. Walker
William Whipper,Samuel G. Mathews
William Whipper,Isaac Whipper
William Whipper,Samuel Hiner
William Whipper,Biars Stanley
William Whipper,John Creed
William Whipper,Alexander C. Luca
William Whipper,L. I. -- Jacob Deyes
William Whipper,Henry Thomson
William Whipper,Willis Jones
William Whipper,Peter Spencer
William Whipper,Jacob Morgan
William Whipper,William S. Thomas
William Whipper,Benjamin Latimore
William Whipper,Schuyler
William Whipper,Francis March
William Whipper,D. C. -- William Jackson
William Whipper,Arthur Waring
William Whipper,Isaac Carey
William Whipper,Charles Butler
William Whipper,Jared Grey
William Whipper,Carlisle
William Whipper,John Peck
William Whipper,Rowland G. Roberts
William Whipper,Dennis Berry
William Whipper,John B. Vashon
William Whipper,Lewis Gardiner
William Whipper,Abraham Lewis
William Whipper,N. J.
William Whipper,Peter Petitt
William Whipper,Charles Anderson
William Whipper,Adam Ray
William Whipper,Sampson Peters
William Whipper,Leonard Scott
William Whipper,Frederick A. Hinton
William Whipper,Joseph Casey
William Whipper,Charles H. Leveck
William Whipper,Thomas L. Jennings
William Whipper,Henry H. Mondy
William Whipper,Abner Cocker
William Whipper,George C. Willis
William Whipper,Alfred Niger
William Whipper,William Wormley
William Whipper,John W. Prout
William Whipper,James Wilkins
William Whipper,Scipio C. Augustus
William Whipper,Charles Hatfield
William Whipper,John Liverpool
William Whipper,John P. Thompson
William Whipper,Shipley
William Whipper,Lundy
William Whipper,Peirce
William Whipper,Long-Island
William Whipper,Lewis G. Wells
John Bowers,James Cornish
John Bowers,Junius C. Morel
John Bowers,Wm. Whipper
John Bowers,Wm. Miller
John Bowers,Henry Sipkins
John Bowers,L. Jennings
John Bowers,Wm. Hamilton
John Bowers,James Pennington
John Bowers,Abner Coker
John Bowers,Robert Cowley
John Bowers,Abraham D. Shad
John Bowers,Peter Gardiner
John Bowers,Wm. Duncan
John Bowers,W. Miller
John Bowers,William Duncan
John Bowers,Willliam Whipper
John Bowers,Charles W. Gardiner
John Bowers,Samuel Todd
John Bowers,Morel
John Bowers,Duncan
John Bowers,Cowley
John Bowers,Jennings
John Bowers,S. S. Jocelyn
John Bowers,Arthur Tappan
John Bowers,Benjamin Lundy
John Bowers,William L. Garrison
John Bowers,Thomas Shipley
John Bowers,Charles Pierce
John Bowers,Jocelyn
John Bowers,Tappan
John Bowers,Garrison
John Bowers,New-Haven
John Bowers,Samuel E. Cornish
John Bowers,Hosea Reiston
John Bowers,Robert Roberts
John Bowers,James G. Barbadoes
John Bowers,Samuel Snowden
John Bowers,Peter Williams
John Bowers,Philip Bell
John Bowers,Thomas Downing
John Bowers,Peter Voglesang
John Bowers,Joseph Cassey
John Bowers,Robert Douglass
John Bowers,James Forten
John Bowers,Richard Howell
John Bowers,Robert Purvis
John Bowers,Thomas Green
John Bowers,James P. Walker
John Bowers,Samuel G. Mathews
John Bowers,Isaac Whipper
John Bowers,Samuel Hiner
John Bowers,Biars Stanley
John Bowers,John Creed
John Bowers,Alexander C. Luca
John Bowers,L. I. -- Jacob Deyes
John Bowers,Henry Thomson
John Bowers,Willis Jones
John Bowers,Peter Spencer
John Bowers,Jacob Morgan
John Bowers,William S. Thomas
John Bowers,Benjamin Latimore
John Bowers,Schuyler
John Bowers,Francis March
John Bowers,D. C. -- William Jackson
John Bowers,Arthur Waring
John Bowers,Isaac Carey
John Bowers,Charles Butler
John Bowers,Jared Grey
John Bowers,Carlisle
John Bowers,John Peck
John Bowers,Rowland G. Roberts
John Bowers,Dennis Berry
John Bowers,John B. Vashon
John Bowers,Lewis Gardiner
John Bowers,Abraham Lewis
John Bowers,N. J.
John Bowers,Peter Petitt
John Bowers,Charles Anderson
John Bowers,Adam Ray
John Bowers,Sampson Peters
John Bowers,Leonard Scott
John Bowers,Frederick A. Hinton
John Bowers,Joseph Casey
John Bowers,Charles H. Leveck
John Bowers,Thomas L. Jennings
John Bowers,Henry H. Mondy
John Bowers,Abner Cocker
John Bowers,George C. Willis
John Bowers,Alfred Niger
John Bowers,William Wormley
John Bowers,John W. Prout
John Bowers,James Wilkins
John Bowers,Scipio C. Augustus
John Bowers,Charles Hatfield
John Bowers,John Liverpool
John Bowers,John P. Thompson
John Bowers,Shipley
John Bowers,Lundy
John Bowers,Peirce
John Bowers,Long-Island
John Bowers,Lewis G. Wells
