source,target
S. M. Africanus,H. Foster
S. M. Africanus,H. Nott
S. M. Africanus,Isaac Cross
S. M. Africanus,Jehiel C. Beman
S. M. Africanus,Amos G. Beman
S. M. Africanus,Samuel T. Gray
S. M. Africanus,W. Francis
S. M. Africanus,J. Emery Burr
S. M. Africanus,L. Collins
S. M. Africanus,D. Gordon
S. M. Africanus,L. Black
S. M. Africanus,A. J. Morrison
S. M. Africanus,L. H. Peters
S. M. Africanus,Levin Smith
S. M. Africanus,Henry Nott
S. M. Africanus,Henry Foster
S. M. Africanus,George Garrison
S. M. Africanus,R. C. Huntington
S. M. Africanus,Charles Daniels
S. M. Africanus,Leverett C. Beman
S. M. Africanus,George W. Francis
S. M. Africanus,Leonard Collins
S. M. Africanus,Charles Hubbard
S. M. Africanus,Philander Pitts
S. M. Africanus,William Allen
S. M. Africanus,Henry Davis
S. M. Africanus,J. Demming
S. M. Africanus,A. C. Luca
S. M. Africanus,Robert J. Cowes
S. M. Africanus,Paul Hall
S. M. Africanus,Thomas Cisco
S. M. Africanus,H. S. Merriman
S. M. Africanus,John Turner
S. M. Africanus,Edward Galpin
S. M. Africanus,T. B. Potter
S. M. Africanus,William Thompson
S. M. Africanus,Amos C. Beman
S. M. Africanus,Samuel Ellis
S. M. Africanus,William Spellman
S. M. Africanus,James L. Smith
S. M. Africanus,Uriah W. R. Pelham
S. M. Africanus,Pelam M. Williams
S. M. Africanus,David Gordon
S. M. Africanus,George L. Williams
S. M. Africanus,William Anderson
S. M. Africanus,George Fairweather
S. M. Africanus,Mason Gauson
S. M. Africanus,Jacob Coggswell
S. M. Africanus,A. G. Beman
S. M. Africanus,George W. Francis Of Bridgepport
S. M. Africanus,Gordon
S. M. Africanus,Posey
S. M. Africanus,Williams
S. M. Africanus,L. C. Beman
S. M. Africanus,S. N. Africanus
S. M. Africanus,Alexandaer Posey
S. M. Africanus,Perry Davis
S. M. Africanus,B. Randall
S. M. Africanus,Middleton
S. M. Africanus,G. Garrison
S. M. Africanus,E. C. Freeman
S. M. Africanus,C. Snipes
S. M. Africanus,H. A. Thompson
S. M. Africanus,J. C. Beman
S. M. Africanus,G. W. Francis
S. M. Africanus,Leonard Colllins
S. M. Africanus,Prince W. West
S. M. Africanus,Amos Gerry Beman
S. M. Africanus,Charles Williams
S. M. Africanus,R. J. Cowes
S. M. Africanus,Minius Lyman
S. M. Africanus,Francis Cisco
S. M. Africanus,Peter Osborn
S. M. Africanus,Thomas B. Potter
S. M. Africanus,Wm. F. Bouchet
S. M. Africanus,Robert M. Park
S. M. Africanus,Pelman M. Williams
S. M. Africanus,Leonarad Black
S. M. Africanus,J. Scott
S. M. Africanus,Abraham Morrison
S. M. Africanus,Nathaniel Holland Danbury
S. M. Africanus,Lyman H. Peters
S. M. Africanus,Stephen Wright
S. M. Africanus,John B. Clarke
S. M. Africanus,Henry Berrian
S. M. Africanus,George A. Spywood
S. M. Africanus,Elymus P. Rogers
S. M. Africanus,N. J. Henry Bibb
S. M. Africanus,J. E. Burr
S. M. Africanus,S. T. Gray
S. M. Africanus,Leonard Black
S. M. Africanus,P.M. Williams
S. M. Africanus,Beman
S. M. Africanus,A. Morrison
S. M. Africanus,Spywood
S. M. Africanus,George Snipes
S. M. Africanus,Francis
S. M. Africanus,Collins
S. M. Africanus,Thompson
S. M. Africanus,Spellman
S. M. Africanus,Gray
S. M. Africanus,John Emery Burr
S. M. Africanus,Ellis
S. M. Africanus,Rogers
S. M. Africanus,Bibb
S. M. Africanus,A. Washington
S. M. Africanus,A. Posey
S. M. Africanus,L.C. Beman
S. M. Africanus,H.A. Thompson
S. M. Africanus,R.J. Cowes
S. M. Africanus,H.S. Merriman
S. M. Africanus,J.L. Smith
S. M. Africanus,W. Peters
S. M. Africanus,N. Thatcher
S. M. Africanus,J.B. Clarke
S. M. Africanus,A.J. Morrison
S. M. Africanus,S.M. Africanus
S. M. Africanus,G.W. Francis
S. M. Africanus,A.G. Beman
S. M. Africanus,L. Carter Beman
S. M. Africanus,Ellsworth
S. M. Africanus,Henry A. Thompson
S. M. Africanus,Wm. Blackstone
S. M. Africanus,Bushnell
S. M. Africanus,Christ
S. M. Africanus,Wm. W. Ellsworth
S. M. Africanus,Crandall
S. M. Africanus,Sam ` L. T. Gray
S. M. Africanus,Sexton
S. M. Africanus,J. B. Clarke
S. M. Africanus,Garrison
S. M. Africanus,William Wolcott Ellsworth
S. M. Africanus,Oliver Ellsworth
S. M. Africanus,Prudance Crandall
S. M. Africanus,Sarah Harris
S. M. Africanus,John Milton
S. M. Africanus,Johannes Kepler
S. M. Africanus,Jonathan Edwards
S. M. Africanus,Theodore Dwight
S. M. Africanus,Timothy Dwight
H. Foster,H. Nott
H. Foster,Isaac Cross
H. Foster,Jehiel C. Beman
H. Foster,Amos G. Beman
H. Foster,Samuel T. Gray
H. Foster,W. Francis
H. Foster,J. Emery Burr
H. Foster,L. Collins
H. Foster,D. Gordon
H. Foster,L. Black
H. Foster,A. J. Morrison
H. Foster,L. H. Peters
H. Foster,Levin Smith
H. Foster,Henry Nott
H. Foster,Henry Foster
H. Foster,George Garrison
H. Foster,R. C. Huntington
H. Foster,Charles Daniels
H. Foster,Leverett C. Beman
H. Foster,George W. Francis
H. Foster,Leonard Collins
H. Foster,Charles Hubbard
H. Foster,Philander Pitts
H. Foster,William Allen
H. Foster,Henry Davis
H. Foster,J. Demming
H. Foster,A. C. Luca
H. Foster,Robert J. Cowes
H. Foster,Paul Hall
H. Foster,Thomas Cisco
H. Foster,H. S. Merriman
H. Foster,John Turner
H. Foster,Edward Galpin
H. Foster,T. B. Potter
H. Foster,William Thompson
H. Foster,Amos C. Beman
H. Foster,Samuel Ellis
H. Foster,William Spellman
H. Foster,James L. Smith
H. Foster,Uriah W. R. Pelham
H. Foster,Pelam M. Williams
H. Foster,David Gordon
H. Foster,George L. Williams
H. Foster,William Anderson
H. Foster,George Fairweather
H. Foster,Mason Gauson
H. Foster,Jacob Coggswell
H. Foster,A. G. Beman
H. Foster,George W. Francis Of Bridgepport
H. Foster,Gordon
H. Foster,Posey
H. Foster,Williams
H. Foster,L. C. Beman
H. Foster,S. N. Africanus
H. Foster,Alexandaer Posey
H. Foster,Perry Davis
H. Foster,B. Randall
H. Foster,Middleton
H. Foster,G. Garrison
H. Foster,E. C. Freeman
H. Foster,C. Snipes
H. Foster,H. A. Thompson
H. Foster,J. C. Beman
H. Foster,G. W. Francis
H. Foster,Leonard Colllins
H. Foster,Prince W. West
H. Foster,Amos Gerry Beman
H. Foster,Charles Williams
H. Foster,R. J. Cowes
H. Foster,Minius Lyman
H. Foster,Francis Cisco
H. Foster,Peter Osborn
H. Foster,Thomas B. Potter
H. Foster,Wm. F. Bouchet
H. Foster,Robert M. Park
H. Foster,Pelman M. Williams
H. Foster,Leonarad Black
H. Foster,J. Scott
H. Foster,Abraham Morrison
H. Foster,Nathaniel Holland Danbury
H. Foster,Lyman H. Peters
H. Foster,Stephen Wright
H. Foster,John B. Clarke
H. Foster,Henry Berrian
H. Foster,George A. Spywood
H. Foster,Elymus P. Rogers
H. Foster,N. J. Henry Bibb
H. Foster,J. E. Burr
H. Foster,S. T. Gray
H. Foster,Leonard Black
H. Foster,P.M. Williams
H. Foster,Beman
H. Foster,A. Morrison
H. Foster,Spywood
H. Foster,George Snipes
