name1,name2
Samuel J. May,"Samuel Thomas , Jr."
Samuel J. May,Samuel Wells
Samuel J. May,J. W. Loguen
Samuel J. May,Charles B. Ray
Samuel J. May,Gerrit Smith
Samuel J. May,Mary Springstead
Samuel J. May,James Baker
Samuel J. May,Fordyce Rice
Samuel J. May,Caroline Brown
Samuel J. May,James C. Jackson
Samuel J. May,William L. Chaplin
Samuel J. May,Joseph C. Hathaway
Samuel J. May,William R. Smith
Samuel J. May,Eleazer Seymour
Samuel J. May,F. Rice
Samuel J. May,Phebe Hathaway
Samuel J. May,Louisa Burnett
Samuel J. May,Frederick Douglass
Samuel J. May,Francis Hawley
Samuel J. May,Chas
Samuel J. May,B. Ray
Samuel J. May,A. Wheaton
Samuel J. May,Charles D. Miller
Samuel J. May,Anne V. Adams
Samuel J. May,S. R. Ward
Samuel J. May,Goodell
Samuel J. May,H. Burleigh
Samuel J. May,Loguen
Samuel J. May,E. L. Platt
Samuel J. May,Theodosia Gilbert
Samuel J. May,Chaplin
Samuel J. May,Charles A. Wheaton
Samuel J. May,G. W. Clark
Samuel J. May,Wm. R. Smith
Samuel J. May,George W. Lawson
Samuel J. May,Cyrus P. Grosvenor
Samuel J. May,G. W. Johnson
Samuel J. May,N. Y.
Samuel J. May,Francis Jackson
Samuel J. May,John G. Whittier
Samuel J. May,Silas Cornell
Samuel J. May,Thomas Davis
Samuel J. May,C. D. Cleveland
Samuel J. May,E. M. Davis
Samuel J. May,C. C. Foote
Samuel J. May,Hon J. R. Giddings
Samuel J. May,G. W. Julian
Samuel J. May,C. Durkee
Samuel J. May,Wilson
Samuel J. May,George W. Clark
Samuel J. May,Edmonson
Samuel J. May,Daniel Webster
Samuel J. May,John Mclean
Samuel J. May,Mclean
Samuel J. May,Moses Stuart
Samuel J. May,F. Julius Lemoyne
Samuel J. May,William Goodell
Samuel J. May,Smith
Samuel J. May,Lemoyne
Samuel J. May,Christ
Samuel J. May,Wm. L. Chaplin
Samuel J. May,Charles T. Torrey
Samuel J. May,Drayton
Samuel J. May,Sayre
Samuel J. May,Harris
"Samuel Thomas , Jr.",Samuel Wells
"Samuel Thomas , Jr.",J. W. Loguen
"Samuel Thomas , Jr.",Charles B. Ray
"Samuel Thomas , Jr.",Gerrit Smith
