source,target
Wm. Nesbit,J.C. White
Wm. Nesbit,O.V. Catto
Wm. Nesbit,P.N. Judah
Wm. Nesbit,David B. Bowser
Wm. Nesbit,Wm. D. Forten
Wm. Nesbit,Jos. C. Bustill
Wm. Nesbit,Jacob C. White
Wm. Nesbit,B. White
Wm. Nesbit,John C. Bowers
Wm. Nesbit,Lorenzo D. Blackson
J.C. White,O.V. Catto
J.C. White,P.N. Judah
J.C. White,David B. Bowser
J.C. White,Wm. D. Forten
J.C. White,Jos. C. Bustill
J.C. White,Jacob C. White
J.C. White,B. White
J.C. White,John C. Bowers
J.C. White,Lorenzo D. Blackson
O.V. Catto,P.N. Judah
O.V. Catto,David B. Bowser
O.V. Catto,Wm. D. Forten
O.V. Catto,Jos. C. Bustill
O.V. Catto,Jacob C. White
O.V. Catto,B. White
O.V. Catto,John C. Bowers
O.V. Catto,Lorenzo D. Blackson
P.N. Judah,David B. Bowser
P.N. Judah,Wm. D. Forten
P.N. Judah,Jos. C. Bustill
P.N. Judah,Jacob C. White
P.N. Judah,B. White
P.N. Judah,John C. Bowers
P.N. Judah,Lorenzo D. Blackson
David B. Bowser,Wm. D. Forten
David B. Bowser,Jos. C. Bustill
David B. Bowser,Jacob C. White
David B. Bowser,B. White
David B. Bowser,John C. Bowers
David B. Bowser,Lorenzo D. Blackson
Wm. D. Forten,Jos. C. Bustill
Wm. D. Forten,Jacob C. White
Wm. D. Forten,B. White
Wm. D. Forten,John C. Bowers
Wm. D. Forten,Lorenzo D. Blackson
Jos. C. Bustill,Jacob C. White
Jos. C. Bustill,B. White
Jos. C. Bustill,John C. Bowers
Jos. C. Bustill,Lorenzo D. Blackson
Jacob C. White,B. White
Jacob C. White,John C. Bowers
Jacob C. White,Lorenzo D. Blackson
B. White,John C. Bowers
B. White,Lorenzo D. Blackson
John C. Bowers,Lorenzo D. Blackson
