source,target
Frederick Douglass,S. J. Hollensworth
Frederick Douglass,J. B. Maginnis
Frederick Douglass,J. L. Sweres
Frederick Douglass,Henry Scroff
Frederick Douglass,L. A. Martinet Virginia
Frederick Douglass,A. V. Cooper
Frederick Douglass,G. H. Ruffin
Frederick Douglass,J. M. Gregory
Frederick Douglass,W. Keats
Frederick Douglass,G.H. Clark
Frederick Douglass,W.G. Robinson
Frederick Douglass,John C. Calhoun
Frederick Douglass,Calhoun
Frederick Douglass,Stevens
Frederick Douglass,Sumner
Frederick Douglass,Wade
Frederick Douglass,Freedman
Frederick Douglass,Guiteau
Frederick Douglass,O'Connell
Frederick Douglass,Noah
Frederick Douglass,Woolsey
Frederick Douglass,Cromwell
S. J. Hollensworth,J. B. Maginnis
S. J. Hollensworth,J. L. Sweres
S. J. Hollensworth,Henry Scroff
S. J. Hollensworth,L. A. Martinet Virginia
S. J. Hollensworth,A. V. Cooper
S. J. Hollensworth,G. H. Ruffin
S. J. Hollensworth,J. M. Gregory
S. J. Hollensworth,W. Keats
S. J. Hollensworth,G.H. Clark
S. J. Hollensworth,W.G. Robinson
S. J. Hollensworth,John C. Calhoun
S. J. Hollensworth,Calhoun
S. J. Hollensworth,Stevens
S. J. Hollensworth,Sumner
S. J. Hollensworth,Wade
S. J. Hollensworth,Freedman
S. J. Hollensworth,Guiteau
S. J. Hollensworth,O'Connell
S. J. Hollensworth,Noah
S. J. Hollensworth,Woolsey
S. J. Hollensworth,Cromwell
J. B. Maginnis,J. L. Sweres
J. B. Maginnis,Henry Scroff
J. B. Maginnis,L. A. Martinet Virginia
J. B. Maginnis,A. V. Cooper
J. B. Maginnis,G. H. Ruffin
J. B. Maginnis,J. M. Gregory
J. B. Maginnis,W. Keats
J. B. Maginnis,G.H. Clark
J. B. Maginnis,W.G. Robinson
J. B. Maginnis,John C. Calhoun
J. B. Maginnis,Calhoun
J. B. Maginnis,Stevens
J. B. Maginnis,Sumner
J. B. Maginnis,Wade
J. B. Maginnis,Freedman
J. B. Maginnis,Guiteau
J. B. Maginnis,O'Connell
J. B. Maginnis,Noah
J. B. Maginnis,Woolsey
J. B. Maginnis,Cromwell
J. L. Sweres,Henry Scroff
J. L. Sweres,L. A. Martinet Virginia
J. L. Sweres,A. V. Cooper
J. L. Sweres,G. H. Ruffin
J. L. Sweres,J. M. Gregory
J. L. Sweres,W. Keats
J. L. Sweres,G.H. Clark
J. L. Sweres,W.G. Robinson
J. L. Sweres,John C. Calhoun
J. L. Sweres,Calhoun
J. L. Sweres,Stevens
J. L. Sweres,Sumner
J. L. Sweres,Wade
J. L. Sweres,Freedman
J. L. Sweres,Guiteau
J. L. Sweres,O'Connell
J. L. Sweres,Noah
J. L. Sweres,Woolsey
J. L. Sweres,Cromwell
Henry Scroff,L. A. Martinet Virginia
Henry Scroff,A. V. Cooper
Henry Scroff,G. H. Ruffin
Henry Scroff,J. M. Gregory
Henry Scroff,W. Keats
Henry Scroff,G.H. Clark
Henry Scroff,W.G. Robinson
Henry Scroff,John C. Calhoun
Henry Scroff,Calhoun
Henry Scroff,Stevens
Henry Scroff,Sumner
Henry Scroff,Wade
Henry Scroff,Freedman
Henry Scroff,Guiteau
Henry Scroff,O'Connell
Henry Scroff,Noah
Henry Scroff,Woolsey
Henry Scroff,Cromwell
L. A. Martinet Virginia,A. V. Cooper
