label,x_val,y_val
John A. Logan,41.9905,-20.0079
Thomas Banks,-5.73065,59.3911
John Peterson,26.66,49.7193
Sandwich,-7.58221,-14.5645
James Mccrummell,-16.405,33.2448
John Wilmot,53.7756,30.5215
Edward Pope,39.9703,-22.6678
J. H. Hopkins,39.709,-19.4198
Wilkesbarre,-5.36808,53.1535
Williams B. Adams,-33.8977,34.6698
William W. Whipper,-29.5362,15.0658
Baldwin,21.3989,-60.1992
J. W. Logan,-2.61381,-58.0654
Samuel J. Williams,-24.3621,-41.6348
Wagner,-19.6619,-44.8442
R. Heathcock,35.1992,-53.8707
Haman,25.2322,-60.8792
A. Brown,5.45755,-80.205
Wayne,12.3392,-29.4625
Ferdinand L. Barnett,38.7785,-13.9535
C. D. Cleveland,-16.5835,-77.5945
Osborn Anderson,10.3648,38.7483
Henry Nott,-58.3605,25.2155
Cornish,-28.4692,38.3724
R. Gardner,-45.2658,-30.2532
W. M. Bulter,64.8368,0.872847
Perry Miller,-18.1021,32.8973
J. N. Marrs,-43.2139,-29.5479
Wm. H. Seward,-31.9484,16.119
R. H. Johnson,-24.4271,-12.9597
Horatio N. Rankin,-20.4637,-41.0436
W. Booth,36.4699,38.9443
John E. Price,-2.3302,26.7481
Newbern,-14.0964,-39.2618
Wm. T. Catts,-30.1854,12.5995
David Wycoff,-25.2346,-18.3834
Theodore S. Wright,-50.2634,-20.4639
E. A. Anderson,66.6118,3.66369
N. Y. ; S. E. Cornish,-24.5413,-17.5256
William Howard,-23.1289,-42.7898
Henry L. Simpson,-56.8129,-17.6582
1851.OH-01.15.COLU.txt,26.3046,-57.9521
Robeson,12.9325,-28.0485
Walter Burr,-32.0993,35.1556
Yancey,26.9708,-46.672
Gray,-35.0815,16.8657
Woodson,-18.9596,29.6119
Charles I.,25.3043,-59.4547
Edmonia Highgate,-22.3028,-40.7249
Samuel Ruby,4.38681,0.440109
John Carl,-1.77598,28.17
H. Hall,31.5058,46.5954
Porter,-2.43694,70.5488
E. P. Rodgers,-45.0004,-20.5209
Jos. C. Bustill,0.330049,-57.7504
Henry Williamson,25.3001,47.6556
Rock,12.0084,-26.837
Perry F. Adams,1.4312,-37.3408
T. Brown,28.1829,-45.5085
J. I. Gaines,22.8183,-55.5019
Nesbit,-0.976283,26.7369
Ellsworth,-58.784,23.6303
Calvin Hackett,48.1565,-38.0188
Nicken,-9.91103,48.0547
M. Langston,27.3591,-44.3786
J. W. Lewis,-1.1623,1.06348
W.W. Brown,-23.7102,-12.1991
Richard D. Johnson,-0.373875,56.3818
Jones,13.5579,-8.99922
J. Chester,-44.3056,-31.639
F. Russel,-5.8225,-15.7557
J. D. Gilliard,32.0832,33.5674
John Jamieson,-44.3077,-30.1962
David Brown,31.3055,31.2035
George F. Downing,-7.21938,-47.0855
M. J. Hopkins,26.0894,-60.2606
Henry H. Garnet,-52.042,-23.5314
William Dolerson,47.4205,-39.0935
Lemuel B. Stewart,-0.840446,26.7827
J. Parnell,24.7229,-60.1054
Edward Freeman,-37.7557,-8.55305
James Gibson,-4.03869,69.6163
John Wendall,-23.4712,-17.568
1879.TN-05.06.NASH.txt,35.4377,-16.5015
1855.NY-09.04.TROY.txt,-36.7759,5.58015
Joseph Smith,-38.0944,3.93119
Anthony,-4.3227,-62.459
H. Gibbons,-30.9693,34.7276
A. B. Perkins,15.2968,20.8848
G. W. Reed,-27.0853,16.0177
Z. P. Purnell,-58.0112,0.637549
Peter A. Bell,-28.0692,14.3395
Divine,27.768,-46.0583
John Spence,-55.242,-1.83205
Smallwood,31.6617,33.48
H.S. Merriman,-56.491,24.9193
Hudson,-37.442,5.77829
Napoleon,45.308,-35.3574
Woods,1.08948,-37.1643
Ralph Francis,-22.1863,-16.5872
M. R. Rodgers Webb,14.8032,19.7342
I.N. Tripler,-2.20419,-70.2016
Horace Greeley,10.0298,-26.5201
Cailloux,-23.6525,-42.6539
Preston G. Wells,-24.8229,-43.7788
B. F. Hughes,-8.17917,48.7052
T. J. Gibbon,15.4471,20.2305
