Name,x,y
Edwin H. Freeman,-40.54869,-66.55348
Seymour,-45.57987,-71.58315
Ingraham,-35.913902,-69.938286
Basset,-43.3119,-71.092735
Abraham Smith,-34.296913,-69.5818
Henry Lee,-39.46609,-71.36319
J. Houston,53.594322,46.561077
John Brown,42.091457,-49.167824
M. Perkins,60.193653,-43.238194
J. C. Napier,68.218025,-36.918373
W. W. Broom,17.999065,4.7608094
Susan B. Anthony,18.086216,7.145251
Francis Lewis,17.970806,6.7030716
H. Molson,18.050089,5.487824
Pettingill,18.178839,6.20244
Peyton Harris,-44.031258,-60.153717
Mcclellan,-42.57266,-67.90747
John Cutler,-35.781727,-68.670586
Clark,-31.61174,-70.8612
Sampson,-33.937992,-72.40392
Wendell Phillips,16.3838,-32.95946
Johnson,-45.538185,-65.76979
James Martin,-79.81423,-2.3622162
T. Lloyd,-73.98598,-0.6364162
Leonard S. Grimes,-76.35979,-2.189358
William Douglass,-43.656826,-60.049473
Benjamin Weeden,-48.432564,-2.4089904
J. Mc.Smith,-42.532417,-3.1332097
Crummell,-47.11371,54.40573
Joseph Whittington,-49.592392,67.95167
W. F. Prosser,87.589134,-3.5431664
William Potter,86.25947,-5.276246
A. B. Parker,81.99597,-4.4590683
Washam,87.555504,-4.8880897
Wm. Phillips,88.72338,-4.601954
Benjamin Bullit,84.495186,-4.3281693
M. E. Johnson,82.05318,-1.525595
Parker,82.121475,-6.9560537
George Bolling,66.27474,16.010519
Harvey Mill,63.008705,16.755226
Thomas Whitbeck,-30.088701,-22.532343
Carrasol,-27.074444,-18.328638
H.J.M. Rogers,-28.969336,-21.489405
Thomas Jefferson,-55.87848,-29.41531
E. M. Africanus,-38.2744,-26.612726
J. W. Duffin,-57.78573,-27.046635
John Chester,-51.57678,-28.444069
Michael Dougee,-51.37976,-28.827406
Francis,-34.155785,-15.252468
Thomas Detter,18.113094,86.54635
J. B. Starkey,13.358168,81.25978
J. M. Flowers,8.297984,81.448975
A. Ferguson,12.477083,82.79757
S. Holmes,8.440162,79.69908
Joseph Adams,9.396798,77.80335
G. W. Gordon,12.15239,81.70758
George Gordon,6.5885315,77.5297
Stephen Hilman,8.356457,79.92896
B. B. Young,12.046482,82.595695
J. J. Moore,19.866405,87.96696
Wh Harris,41.823654,23.947525
H K Thomas,42.727814,27.008678
Hamilton,-69.18598,23.749619
W. Keeling,-46.343502,-72.44757
John B. Smith,-42.360294,-70.99909
James C. Matthews,-45.111664,-65.35876
John D. Richards,-35.913364,-68.489105
Samuel J. Williams,-44.257534,-69.13488
W. H. Decker,-43.272366,-72.73262
Charles H. Langston,-6.0571427,-62.803627
Peter,-8.316017,-58.536934
Martin R. Delany,-18.023745,46.97268
Adams,-51.674664,64.593895
J. Bennett,2.7127736,-69.17662
J. Lott,-4.114658,-69.73193
J. D. Patterson,7.1443667,-39.634426
Mason,44.337494,-46.649384
Andrew Hubbard,51.003384,-46.51346
Charles A. Burgeois,68.35193,-40.25132
Wm. Douglass,-48.337166,54.702057
Shadd,-50.581863,54.611374
Thomas,8.5016985,70.86555
Rives,69.28786,-41.561855
G. Mcfariand,54.169235,-42.31301
C. A. Bourgeois,58.987534,-41.771492
M. F. Womack,52.316486,-48.247025
D. Wilson,62.37296,-37.81371
Fred,43.15871,-45.552376
James H. Henderson,-55.628666,-26.691427
W. A. Smith,-16.09423,77.13646
Thomas Johnson,-44.472332,-63.285057
J. G. Britton,57.62993,-11.483073
T. Roberts,22.071613,-35.07104
Alton,-4.4024234,-30.348373
J. G. M. Britton,-9.544183,-27.042765
Ware,-9.4388275,-28.251726
Noah Palk,-3.7339764,-25.1778
P. Harris,-52.731815,-7.481463
J. Wandell,-27.278992,-18.476334
M. R. Delany,-51.46989,64.84677
John E. Moore,-48.68324,62.442093
Isaiah Wears,-45.00569,60.967987
Collins,13.266346,89.56985
Lucius,6.872299,77.77432
Moses,9.150836,75.86335
E. J. Johnson,8.306345,77.4208
D. Lewis,8.889981,70.65694
Jeremiah Harvey,-0.16367112,-4.2101345
Charles L. Remond,-62.649567,-5.1304383
Amos N. Freeman,-17.418867,-53.745365
