Person,Count,Year,Place,filename
J.W. Allen,1,1830,PA,1830.PA-09.24.PHIL.txt
Bishop Allen,2,1830,PA,1830.PA-09.24.PHIL.txt
Cyrus Black,2,1830,PA,1830.PA-09.24.PHIL.txt
Junius C. Morel,4,1830,PA,1830.PA-09.24.PHIL.txt
Benjamin Paschall,2,1830,PA,1830.PA-09.24.PHIL.txt
James Cornish,2,1830,PA,1830.PA-09.24.PHIL.txt
Richard Allen,7,1830,PA,1830.PA-09.24.PHIL.txt
Belfast Burton,5,1830,PA,1830.PA-09.24.PHIL.txt
Robert Cowley,2,1830,PA,1830.PA-09.24.PHIL.txt
Wm. S. Whipper,1,1830,PA,1830.PA-09.24.PHIL.txt
Peter Gardiner,2,1830,PA,1830.PA-09.24.PHIL.txt
John Allen,2,1830,PA,1830.PA-09.24.PHIL.txt
James Newman,2,1830,PA,1830.PA-09.24.PHIL.txt
Charles H. Leveck,2,1830,PA,1830.PA-09.24.PHIL.txt
Frederick A. Hinton,2,1830,PA,1830.PA-09.24.PHIL.txt
Austin Steward,1,1830,PA,1830.PA-09.24.PHIL.txt
Jos. Adams,1,1830,PA,1830.PA-09.24.PHIL.txt
George L. Brown,1,1830,PA,1830.PA-09.24.PHIL.txt
C. Augustus,1,1830,PA,1830.PA-09.24.PHIL.txt
George C. Willis,1,1830,PA,1830.PA-09.24.PHIL.txt
Alfred Niger,1,1830,PA,1830.PA-09.24.PHIL.txt
James Deavour,1,1830,PA,1830.PA-09.24.PHIL.txt
Hezekiah Grice,1,1830,PA,1830.PA-09.24.PHIL.txt
Aaron Willoon,1,1830,PA,1830.PA-09.24.PHIL.txt
Abraham D. Shad,1,1830,PA,1830.PA-09.24.PHIL.txt
Arthur M. Waring,1,1830,PA,1830.PA-09.24.PHIL.txt
Wm. Duncan,1,1830,PA,1830.PA-09.24.PHIL.txt
James West,1,1830,PA,1830.PA-09.24.PHIL.txt
Robert Brown,1,1830,PA,1830.PA-09.24.PHIL.txt
William Rogers,1,1830,PA,1830.PA-09.24.PHIL.txt
John Bowers,2,1830,PA,1830.PA-09.24.PHIL.txt
Richard Howell,2,1830,PA,1830.PA-09.24.PHIL.txt
Daniel Peterson,1,1830,PA,1830.PA-09.24.PHIL.txt
Charles Shorts,1,1830,PA,1830.PA-09.24.PHIL.txt
Leven Williams,1,1830,PA,1830.PA-09.24.PHIL.txt
James P. Walker,1,1830,PA,1830.PA-09.24.PHIL.txt
John Robinson,1,1830,PA,1830.PA-09.24.PHIL.txt
Samuel Todd,1,1830,PA,1830.PA-09.24.PHIL.txt
John Arnold,1,1830,PA,1830.PA-09.24.PHIL.txt
Sampson Peters,1,1830,PA,1830.PA-09.24.PHIL.txt
Anthony Campbell,1,1830,PA,1830.PA-09.24.PHIL.txt
Don Carolos Hall,1,1830,PA,1830.PA-09.24.PHIL.txt
Rob,1,1830,PA,1830.PA-09.24.PHIL.txt
Brown,1,1830,PA,1830.PA-09.24.PHIL.txt
Daniel D. Brownhill,1,1830,PA,1830.PA-09.24.PHIL.txt
William Whipper,2,1830,PA,1830.PA-09.24.PHIL.txt
John P. Thompson,1,1830,PA,1830.PA-09.24.PHIL.txt
Samuel D. Potts,1,1830,PA,1830.PA-09.24.PHIL.txt
